ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POCUPADA,PDESOCUP,CVEGEO
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,1,60,35,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,2,83,42,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,3,85,45,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,4,78,36,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,5,64,36,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,6,55,26,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,7,59,31,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,8,79,44,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,9,44,20,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,10,78,43,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,11,73,34,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,12,84,42,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,13,98,63,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,14,76,34,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,15,73,26,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,16,33,16,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,17,62,24,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,18,64,34,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,19,74,37,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,20,66,30,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,21,42,15,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,22,61,22,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,23,61,31,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,24,42,20,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,25,71,31,3,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,26,103,50,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,27,93,44,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,28,57,21,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,29,45,22,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,30,35,20,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,31,61,28,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,32,70,26,3,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,35,54,21,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,36,65,26,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,37,68,29,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,38,103,50,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,39,43,15,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,40,99,28,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,41,72,36,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,42,88,38,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,43,109,47,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,44,169,60,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,47,2,,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,48,23,8,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,49,61,25,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,53,6,,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,54,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,56,1,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,57,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,1,45,22,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,2,16,8,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,3,76,34,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,4,43,23,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,5,46,20,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,6,57,27,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,7,85,48,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,8,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,9,9,,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,10,6,,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,11,50,26,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,12,61,26,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,13,28,15,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,14,46,22,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,15,75,28,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,16,107,44,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,17,34,14,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,18,89,47,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,19,162,85,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,20,8,,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,21,227,53,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,22,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,23,36,14,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,24,46,21,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,25,59,27,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,26,50,21,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,27,15,7,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,28,29,15,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,29,10,5,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,30,18,9,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,31,9,5,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,32,17,10,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,33,6,,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,34,4,,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,35,12,8,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,37,14,9,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,38,19,4,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,39,40,21,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,40,62,34,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,41,44,21,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,42,33,15,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,43,28,11,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,44,38,19,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,45,8,6,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,46,15,7,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,47,10,6,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,48,16,11,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,49,7,4,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,51,4,,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,52,18,12,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,53,16,6,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,54,46,24,3,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,800,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,1,89,44,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,2,78,29,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,3,109,44,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,4,109,52,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,5,27,8,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,6,26,11,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,7,101,33,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,8,77,27,3,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,9,105,47,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,10,76,35,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,11,56,28,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,12,89,37,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,13,70,27,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,14,109,50,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,15,63,37,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,16,42,24,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,17,47,19,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,18,65,23,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,19,77,28,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,20,77,34,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,21,90,45,3,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,22,72,35,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,23,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,24,32,12,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,25,41,18,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,26,63,29,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,27,32,14,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,28,21,10,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,29,40,10,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,30,35,20,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,31,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,32,33,11,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,33,24,10,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,35,32,14,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,36,10,,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,37,102,35,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,38,115,49,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,39,31,16,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,40,19,11,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,41,50,19,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,42,44,17,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,43,50,19,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,44,118,52,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,45,67,25,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,46,52,29,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,52,12,6,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,53,14,3,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,54,11,4,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,55,17,8,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,56,43,22,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,57,27,14,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,58,42,15,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,59,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,1,67,13,12,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,2,63,35,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,3,107,51,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,4,96,44,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,5,55,35,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,6,91,47,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,7,140,74,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,8,91,26,11,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,9,78,24,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,10,69,27,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,11,47,23,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,12,80,39,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,13,104,54,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,14,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,15,64,39,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,16,83,37,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,17,76,36,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,18,108,63,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,19,70,43,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,20,15,14,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,21,95,49,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,22,52,27,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,23,86,47,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,24,66,37,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,25,46,22,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,26,78,32,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,27,82,34,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,29,39,12,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,30,88,50,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,31,160,64,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,32,83,27,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,33,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,35,73,28,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,36,24,11,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,37,35,11,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,38,17,5,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,39,35,16,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,40,54,22,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,41,60,26,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,42,12,4,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,43,20,8,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,44,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,46,2,,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,47,37,16,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,487,48,0,0,0,3.1079E+15
